stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
Taman Boulevard,,Taman Boulevard,,-6.566320000,106.781030000,,,,,,2
Jl. Taman Sari 3,,Jl. Taman Sari 3,,-6.565610000,106.779810000,,,,,,2
Masjid Raya Taman Cimanggu,,Masjid Raya Taman Cimanggu,,-6.562850000,106.779550000,,,,,,2
Jl. Taman Cimanggu Tengah,,Jl. Taman Cimanggu Tengah,,-6.562920000,106.777790000,,,,,,2
RS. Salak Bogor,,RS. Salak Bogor,,-6.591010000,106.796980000,,,,,,2
Sudirman 1,,Sudirman 1,,-6.588850000,106.796980000,,,,,,2
Monumen & Museum PETA,,Monumen & Museum PETA,,-6.585240000,106.796870000,,,,,,2
GOR Saojajar,,GOR Saojajar,,-6.588620000,106.794330000,,,,,,2
Yogya Bogor Junction,,Yogya Bogor Junction,,-6.588660000,106.796890000,,,,,,2
Polsek Bogor Tengah,,Polsek Bogor Tengah,,-6.581810000,106.793780000,,,,,,2
Jl. Bubulak,,Jl. Bubulak,,-6.578140000,106.792660000,,,,,,2
Jl. Pondok Rumput 1,,Jl. Pondok Rumput 1,,-6.573280000,106.793410000,,,,,,2
Lapangan Pondok Rumput,,Lapangan Pondok Rumput,,-6.571270000,106.793770000,,,,,,2
SDN Pondok Rumput,,SDN Pondok Rumput,,-6.569670000,106.793900000,,,,,,2
Jl. Nusa Indah-Manunggal,,Jl. Nusa Indah-Manunggal,,-6.569770000,106.795660000,,,,,,2
SDN Cimanggu,,SDN Cimanggu,,-6.569600000,106.784440000,,,,,,2
Kios Sayur Inti Dapur,,Kios Sayur Inti Dapur,,-6.569190000,106.781810000,,,,,,2
Ketoprak Japar - Taman Yasmin Sektor 2,,Ketoprak Japar - Taman Yasmin Sektor 2,,-6.566545600,106.772097100,,,,,,2
Notaris Indyah Retno Purati,,Notaris Indyah Retno Purati,,-6.565777700,106.775593300,,,,,,2
Jl. Durian Raya,,Jl. Durian Raya,,-6.616300000,106.816430000,,,,,,2
Bantar Kemang,,Bantar Kemang,,-6.617970000,106.820270000,,,,,,2
Nur Grosir Beras,,Nur Grosir Beras,,-6.620370000,106.821840000,,,,,,2
Arief Dental,,Arief Dental,,-6.622790000,106.824320000,,,,,,2
Gg. Pemuda,,Gg. Pemuda,,-6.624340000,106.827150000,,,,,,2
warkop Tampomas,,warkop Tampomas,,-6.622260000,106.829340000,,,,,,2
Kompleks Mutiara Bogor Raya,,Kompleks Mutiara Bogor Raya,,-6.619760000,106.831980000,,,,,,2
Komplek Sindangbarang,,Komplek Sindangbarang,,-6.573640000,106.751550000,,,,,,2
Terminal Laladon,,Terminal Laladon,,-6.576030000,106.753160000,,,,,,2
Lampu Merah Laladon,,Lampu Merah Laladon,,-6.576540000,106.754720000,,,,,,2
Pertamina,,Pertamina,,-6.578240000,106.759000000,,,,,,2
Aspol,,Aspol,,-6.580130000,106.762870000,,,,,,2
Akbid,,Akbid,,-6.580330000,106.766300000,,,,,,2
Apotik Sindang Barang,,Apotik Sindang Barang,,-6.582400000,106.768910000,,,,,,2
wisma Djuarsa,,isma Djuarsa,,-6.587770000,106.772140000,,,,,,2
Masjid Jami' Nurul 'Amal,,Masjid Jami' Nurul 'Amal,,-6.591780000,106.775610000,,,,,,2
Jl. Penggalang,,Jl. Penggalang,,-6.584330000,106.770590000,,,,,,2
Pasar Gunung Batu,,Pasar Gunung Batu,,-6.594360000,106.777970000,,,,,,2
Masjid Al-Huda,,Masjid Al-Huda,,-6.596780000,106.779180000,,,,,,2
Kantor Kelurahan Pasirmulya,,Kantor Kelurahan Pasirmulya,,-6.599770000,106.77946000,,,,,,2
Jl. Meranti 2,,Jl. Meranti 2,,-6.601180000,106.780630000,,,,,,2
Masjid Al-Mustarih,,Masjid Al-Mustarih,,-6.601360000,106.783590000,,,,,,2
Masjid Al Mu'Aanah,,Masjid Al Mu'Aanah,,-6.602680000,106.785530000,,,,,,2
Notaris Ny. Rosa Triana,,Notaris Ny. Rosa Triana,,-6.605930000,106.787280000,,,,,,2
Jl. Aria Surialaga,,Jl. Aria Surialaga,,-6.607060000,106.791840000,,,,,,2
Gg. Harapan,,Gg. Harapan,,-6.605170000,106.792840000,,,,,,2
